Datetime,Open,High,Low,Close,Volume,"('Datetime', '')","('Close', 'BNB-USD')","('High', 'BNB-USD')","('Low', 'BNB-USD')","('Open', 'BNB-USD')","('Volume', 'BNB-USD')","('Datetime', '').1","('Close', 'BNB-USD').1","('High', 'BNB-USD').1","('Low', 'BNB-USD').1","('Open', 'BNB-USD').1","('Volume', 'BNB-USD').1","('Datetime', '').2","('Close', 'BNB-USD').2","('High', 'BNB-USD').2","('Low', 'BNB-USD').2","('Open', 'BNB-USD').2","('Volume', 'BNB-USD').2","('Datetime', '').3","('Close', 'BNB-USD').3","('High', 'BNB-USD').3","('Low', 'BNB-USD').3","('Open', 'BNB-USD').3","('Volume', 'BNB-USD').3","('Datetime', '').4","('Close', 'BNB-USD').4","('High', 'BNB-USD').4","('Low', 'BNB-USD').4","('Open', 'BNB-USD').4","('Volume', 'BNB-USD').4","('Datetime', '').5","('Close', 'BNB-USD').5","('High', 'BNB-USD').5","('Low', 'BNB-USD').5","('Open', 'BNB-USD').5","('Volume', 'BNB-USD').5","('Datetime', '').6","('Close', 'BNB-USD').6","('High', 'BNB-USD').6","('Low', 'BNB-USD').6","('Open', 'BNB-USD').6","('Volume', 'BNB-USD').6","('Datetime', '').7","('Close', 'BNB-USD').7","('High', 'BNB-USD').7","('Low', 'BNB-USD').7","('Open', 'BNB-USD').7","('Volume', 'BNB-USD').7","('Datetime', '').8","('Close', 'BNB-USD').8","('High', 'BNB-USD').8","('Low', 'BNB-USD').8","('Open', 'BNB-USD').8","('Volume', 'BNB-USD').8","('Datetime', '').9","('Close', 'BNB-USD').9","('High', 'BNB-USD').9","('Low', 'BNB-USD').9","('Open', 'BNB-USD').9","('Volume', 'BNB-USD').9","('Datetime', '').10","('Close', 'BNB-USD').10","('High', 'BNB-USD').10","('Low', 'BNB-USD').10","('Open', 'BNB-USD').10","('Volume', 'BNB-USD').10","('Datetime', '').11","('Close', 'BNB-USD').11","('High', 'BNB-USD').11","('Low', 'BNB-USD').11","('Open', 'BNB-USD').11","('Volume', 'BNB-USD').11","('Datetime', '').12","('Close', 'BNB-USD').12","('High', 'BNB-USD').12","('Low', 'BNB-USD').12","('Open', 'BNB-USD').12","('Volume', 'BNB-USD').12","('Datetime', '').13","('Close', 'BNB-USD').13","('High', 'BNB-USD').13","('Low', 'BNB-USD').13","('Open', 'BNB-USD').13","('Volume', 'BNB-USD').13","('Datetime', '').14","('Close', 'BNB-USD').14","('High', 'BNB-USD').14","('Low', 'BNB-USD').14","('Open', 'BNB-USD').14","('Volume', 'BNB-USD').14","('Datetime', '').15","('Close', 'BNB-USD').15","('High', 'BNB-USD').15","('Low', 'BNB-USD').15","('Open', 'BNB-USD').15","('Volume', 'BNB-USD').15","('Datetime', '').16","('Close', 'BNB-USD').16","('High', 'BNB-USD').16","('Low', 'BNB-USD').16","('Open', 'BNB-USD').16","('Volume', 'BNB-USD').16","('Datetime', '')","('Close', 'BNB-USD')","('High', 'BNB-USD')","('Low', 'BNB-USD')","('Open', 'BNB-USD')","('Volume', 'BNB-USD')"
2025-05-31 15:00:00,658.3986206054688,659.1445922851562,657.0665283203125,657.155517578125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 16:00:00,657.1557006835938,658.370849609375,656.5692749023438,657.0913696289062,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 17:00:00,657.0891723632812,657.5436401367188,656.245849609375,656.245849609375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 18:00:00,656.300537109375,657.7860107421875,656.0733642578125,657.5265502929688,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 19:00:00,657.52294921875,659.8671264648438,657.52294921875,659.0075073242188,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 20:00:00,659.0399780273438,660.2453002929688,658.9749145507812,660.2418823242188,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 21:00:00,660.2838745117188,661.2674560546875,660.023193359375,660.2254638671875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 22:00:00,660.1680297851562,660.8931884765625,659.0313110351562,659.0411376953125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31 23:00:00,659.0214233398438,659.417724609375,658.2694091796875,658.4995727539062,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 00:00:00,658.4482421875,658.4482421875,656.7163696289062,656.7440795898438,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 01:00:00,656.7695922851562,657.0272827148438,655.2383422851562,655.2383422851562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 02:00:00,655.3197021484375,656.3484497070312,653.6012573242188,656.1296997070312,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 03:00:00,656.1442260742188,656.1442260742188,654.1295166015625,656.0340576171875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 04:00:00,655.982177734375,657.0997924804688,654.6218872070312,657.0997924804688,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 05:00:00,657.100830078125,657.1380615234375,655.9231567382812,656.69775390625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 06:00:00,656.684326171875,656.684326171875,654.0896606445312,654.7158813476562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 07:00:00,654.5989379882812,654.5989379882812,653.1099243164062,654.1038818359375,5139840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 08:00:00,654.0791015625,654.0791015625,652.2645874023438,652.2645874023438,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 09:00:00,652.3839721679688,652.8698120117188,649.5935668945312,649.5935668945312,15189376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 10:00:00,649.730712890625,650.882568359375,648.8980712890625,648.9512939453125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 11:00:00,649.3274536132812,650.7523803710938,648.915283203125,650.5192260742188,5423232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 12:00:00,650.5518188476562,650.8251953125,648.2611694335938,648.7819213867188,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 13:00:00,648.8222045898438,650.7435302734375,648.8222045898438,650.3734741210938,2033024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
